"region","valår","Moderaterna","Centerpartiet","Folkpartiet","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"1082 Karlshamn","2002",11.6,5.4,10.3,7.5,4.6,47.4,10.3,2.7,0.2
"1082 Karlshamn","2006",19.7,6.5,6.0,4.5,4.2,44.6,6.7,6.3,1.4
"1082 Karlshamn","2010",26.3,5.0,5.3,3.5,6.3,37.3,6.1,9.4,0.9
"1083 Sölvesborg","2002",18.6,5.1,9.4,8.7,3.0,45.1,7.1,2.7,0.4
"1083 Sölvesborg","2006",27.2,5.6,4.7,5.1,2.3,41.1,4.6,7.9,1.7
"1083 Sölvesborg","2010",31.5,4.8,4.1,4.0,4.1,34.4,4.0,12.2,0.9
"1214 Svalöv","2002",15.2,12.7,9.6,7.3,2.8,41.0,4.1,4.9,2.3
"1214 Svalöv","2006",22.9,13.8,5.9,4.3,3.0,35.7,3.0,9.7,1.7
"1214 Svalöv","2010",27.4,11.7,5.7,3.4,4.8,28.9,3.5,13.1,1.5
"1230 Staffanstorp","2002",20.7,3.9,14.7,7.0,2.4,41.7,3.3,3.6,2.7
"1230 Staffanstorp","2006",36.0,5.2,8.5,4.3,3.3,32.0,2.2,5.2,3.3
"1230 Staffanstorp","2010",42.5,5.1,8.1,3.8,5.1,22.4,2.1,8.7,2.3
"1231 Burlöv","2002",14.2,2.3,11.9,5.2,2.7,48.2,6.3,6.5,2.6
"1231 Burlöv","2006",24.7,3.2,7.4,3.3,3.1,42.3,4.3,8.0,3.7
"1231 Burlöv","2010",30.9,2.7,6.9,2.5,5.3,33.6,3.8,12.5,1.9
"1233 Vellinge","2002",38.6,2.3,18.4,7.9,1.9,23.8,1.4,3.3,2.3
"1233 Vellinge","2006",55.9,3.7,8.8,5.6,1.9,16.8,1.1,4.2,2.0
"1233 Vellinge","2010",59.1,4.3,8.7,6.2,3.2,9.4,0.9,7.0,1.4
"1256 Östra Göinge","2002",12.5,7.0,7.8,9.4,3.4,49.1,7.3,2.1,1.4
"1256 Östra Göinge","2006",18.5,8.2,5.7,7.0,2.7,46.0,3.7,5.9,2.4
"1256 Östra Göinge","2010",24.8,6.2,6.0,4.2,4.3,36.4,3.5,13.7,1.0
"1257 Örkelljunga","2002",17.8,7.3,10.1,21.4,2.5,32.0,3.7,3.0,2.2
"1257 Örkelljunga","2006",26.5,7.8,6.0,13.9,1.9,29.7,2.4,7.5,4.4
"1257 Örkelljunga","2010",29.4,6.6,5.9,11.5,4.1,25.7,3.0,12.4,1.5
"1260 Bjuv","2002",12.9,3.7,8.6,7.3,2.2,53.3,5.9,5.0,1.2
"1260 Bjuv","2006",20.7,4.4,4.9,4.3,2.0,48.2,3.0,10.3,2.3
"1260 Bjuv","2010",25.9,3.7,4.9,2.7,3.5,40.6,3.2,14.9,0.7
"1261 Kävlinge","2002",18.1,4.3,13.8,6.4,2.6,43.0,4.1,6.0,1.6
"1261 Kävlinge","2006",31.8,5.6,8.6,4.2,2.6,35.3,2.2,7.0,2.8
"1261 Kävlinge","2010",40.0,5.3,8.6,3.6,4.7,25.4,2.1,9.1,1.2
"1262 Lomma","2002",26.7,2.5,19.9,7.7,3.1,32.0,2.6,3.4,2.1
"1262 Lomma","2006",44.6,5.2,11.0,5.3,2.9,22.3,1.6,3.9,3.1
"1262 Lomma","2010",49.8,5.5,10.7,5.6,4.9,14.2,1.4,5.9,2.1
"1263 Svedala","2002",16.6,4.0,13.5,6.9,2.5,44.5,3.8,6.3,1.9
"1263 Svedala","2006",30.4,4.6,8.2,3.9,2.7,36.4,2.2,9.3,2.4
"1263 Svedala","2010",39.5,4.0,7.3,3.2,4.6,24.2,2.2,13.3,1.7
"1264 Skurup","2002",17.6,9.5,11.2,7.1,2.6,39.9,4.8,5.7,1.6
"1264 Skurup","2006",29.0,8.8,6.5,4.6,2.9,35.2,2.8,7.8,2.4
"1264 Skurup","2010",35.2,7.3,6.3,2.8,4.2,26.3,2.7,13.5,1.6
"1265 Sjöbo","2002",18.4,10.8,9.1,9.3,2.8,36.7,4.8,5.0,3.2
"1265 Sjöbo","2006",29.6,10.5,5.2,5.9,2.7,32.2,3.0,8.9,2.0
"1265 Sjöbo","2010",35.0,8.6,4.9,3.9,4.1,23.5,2.9,15.8,1.3
"1266 Hörby","2002",14.6,14.3,11.5,10.1,3.5,33.6,3.6,5.6,3.2
"1266 Hörby","2006",26.7,12.4,7.0,6.3,3.1,28.8,2.4,8.0,5.1
"1266 Hörby","2010",33.2,9.8,6.0,4.2,4.5,22.6,2.6,14.0,3.0
"1267 Höör","2002",17.0,7.7,13.1,9.1,4.7,35.4,4.9,4.4,3.6
"1267 Höör","2006",28.2,8.6,7.2,5.7,5.2,30.7,3.8,7.7,3.0
"1267 Höör","2010",34.6,6.2,7.2,4.6,7.4,22.8,3.7,11.5,1.8
"1270 Tomelilla","2002",18.4,12.0,9.7,8.1,3.2,37.4,5.3,5.0,0.9
"1270 Tomelilla","2006",27.6,11.8,5.2,5.3,3.3,32.7,3.2,8.4,2.5
"1270 Tomelilla","2010",31.1,9.8,4.5,2.9,4.9,28.3,3.0,13.4,2.1
"1272 Bromölla","2002",9.3,3.8,7.7,7.0,2.9,56.4,8.7,3.4,0.7
"1272 Bromölla","2006",15.9,4.7,5.5,4.5,2.3,51.9,5.8,7.4,2.1
"1272 Bromölla","2010",22.4,3.5,5.5,2.8,3.9,41.1,4.6,15.4,0.7
"1273 Osby","2002",10.9,9.1,8.3,11.4,3.2,46.0,7.2,3.0,0.8
"1273 Osby","2006",19.2,9.9,5.5,7.8,2.9,42.7,4.1,6.5,1.5
"1273 Osby","2010",24.5,9.1,4.7,5.5,5.3,34.4,3.0,12.8,0.6
"1275 Perstorp","2002",15.8,7.2,10.8,9.3,2.2,42.9,7.7,1.7,2.5
"1275 Perstorp","2006",23.5,7.1,5.6,5.8,1.7,40.9,5.4,6.1,4.0
"1275 Perstorp","2010",28.2,5.6,5.1,4.0,4.3,35.7,4.7,11.1,1.5
"1276 Klippan","2002",18.9,7.3,9.3,11.8,2.7,40.5,4.5,2.7,2.2
"1276 Klippan","2006",27.0,7.3,5.4,6.5,2.6,38.3,2.9,7.5,2.6
"1276 Klippan","2010",30.9,5.7,5.1,5.2,3.7,31.9,4.0,12.3,1.2
"1277 Åstorp","2002",17.8,4.4,8.5,9.7,2.2,47.3,5.3,3.8,1.1
"1277 Åstorp","2006",23.4,5.7,5.1,5.0,1.8,45.3,2.9,8.4,2.4
"1277 Åstorp","2010",29.0,4.4,4.7,3.8,3.9,38.5,2.7,11.9,1.1
"1278 Båstad","2002",27.1,11.3,15.4,14.9,3.6,21.4,3.1,2.5,0.6
"1278 Båstad","2006",41.8,12.7,7.7,8.4,3.7,18.2,1.8,3.6,2.1
"1278 Båstad","2010",44.1,12.1,7.4,7.2,5.5,15.3,1.9,5.6,0.9
"1280 Malmö","2002",16.5,1.2,13.8,5.3,4.3,42.4,7.6,3.8,5.3
"1280 Malmö","2006",28.5,2.9,8.9,3.5,6.1,35.2,5.5,5.0,4.6
"1280 Malmö","2010",32.6,2.8,7.0,3.1,8.8,28.7,6.0,7.8,3.2
"1281 Lund","2002",16.9,3.3,20.6,5.7,7.2,34.2,9.1,1.7,1.2
"1281 Lund","2006",29.8,7.2,12.3,4.4,9.1,25.7,5.9,2.5,3.0
"1281 Lund","2010",32.1,6.6,11.1,5.0,12.8,19.5,5.8,5.0,2.2
"1282 Landskrona","2002",16.4,2.2,13.6,5.7,2.5,44.4,6.3,6.2,2.7
"1282 Landskrona","2006",24.2,3.0,12.2,2.7,2.9,40.8,3.9,8.2,2.1
"1282 Landskrona","2010",28.2,2.5,11.7,2.5,4.3,35.8,4.1,9.9,1.0
"1283 Helsingborg","2002",18.8,2.1,15.1,8.4,3.6,39.0,5.9,4.0,3.0
"1283 Helsingborg","2006",31.5,3.8,8.7,5.0,4.1,33.2,3.5,6.3,3.9
"1283 Helsingborg","2010",36.2,3.3,7.9,4.4,6.5,27.7,3.4,9.0,1.5
"1284 Höganäs","2002",22.8,4.0,16.2,11.5,3.6,32.7,4.7,2.7,1.8
"1284 Höganäs","2006",37.3,5.8,8.4,7.8,4.0,27.2,2.4,4.2,2.9
"1284 Höganäs","2010",42.4,5.4,9.1,6.7,5.9,20.2,2.6,6.4,1.5
"1285 Eslöv","2002",14.1,9.4,10.8,5.9,3.2,45.6,5.2,4.5,1.3
"1285 Eslöv","2006",22.2,9.3,7.0,3.8,3.1,40.1,3.5,8.4,2.4
"1285 Eslöv","2010",29.6,6.9,7.0,2.8,4.8,32.2,3.2,11.8,1.6
"1286 Ystad","2002",19.7,5.9,11.6,6.4,2.9,44.0,4.6,2.9,1.8
"1286 Ystad","2006",31.7,6.4,6.5,5.1,3.3,36.8,2.7,4.6,3.0
"1286 Ystad","2010",37.9,5.7,6.5,3.5,5.5,28.4,2.6,8.4,1.5
"1287 Trelleborg","2002",15.0,4.1,9.8,7.1,2.8,48.1,4.1,4.9,4.0
"1287 Trelleborg","2006",23.8,4.9,6.4,5.9,2.8,39.8,2.6,9.0,4.9
"1287 Trelleborg","2010",34.1,4.0,5.8,3.7,3.9,30.6,2.5,13.8,1.7
"1290 Kristianstad","2002",16.7,4.9,14.0,9.1,3.8,41.6,5.9,2.3,1.6
"1290 Kristianstad","2006",26.4,7.5,9.8,4.7,3.7,36.5,3.8,4.4,3.2
"1290 Kristianstad","2010",31.6,5.4,9.0,3.8,5.5,28.6,3.3,11.8,1.0
"1291 Simrishamn","2002",19.8,9.0,11.9,9.1,3.9,35.7,6.7,2.5,1.4
"1291 Simrishamn","2006",30.9,9.7,6.1,6.7,4.8,30.2,3.5,4.4,3.7
"1291 Simrishamn","2010",36.2,7.4,6.1,4.6,6.8,26.5,3.4,7.6,1.3
"1292 Ängelholm","2002",24.0,5.8,13.6,12.4,3.8,31.9,4.0,2.3,2.1
"1292 Ängelholm","2006",35.8,7.1,7.2,7.4,3.7,27.5,2.7,4.7,4.0
"1292 Ängelholm","2010",40.7,6.5,6.5,5.8,6.0,22.6,2.7,7.6,1.5
"1293 Hässleholm","2002",15.1,8.8,10.5,13.0,4.1,38.5,5.6,3.5,0.9
"1293 Hässleholm","2006",25.3,9.4,6.1,8.6,3.7,35.0,3.4,6.4,2.1
"1293 Hässleholm","2010",29.0,8.0,5.9,5.8,6.0,28.3,3.2,12.9,0.9
"1315 Hylte","2002",11.5,17.3,9.0,8.7,2.9,42.3,4.6,1.1,2.7
"1315 Hylte","2006",21.7,15.7,5.1,6.8,2.8,38.5,3.3,4.1,2.0
"1315 Hylte","2010",25.5,12.7,6.6,5.1,3.8,34.5,3.2,6.9,1.6
"1380 Halmstad","2002",16.4,5.8,13.9,8.5,4.2,40.9,6.9,0.7,2.9
"1380 Halmstad","2006",27.7,6.8,7.8,6.1,4.3,36.1,4.4,2.6,4.2
"1380 Halmstad","2010",31.6,6.1,7.6,5.1,6.4,32.4,4.0,5.3,1.7
"1381 Laholm","2002",16.6,16.4,10.2,11.5,3.6,33.0,4.8,1.2,2.7
"1381 Laholm","2006",27.9,15.8,5.5,6.4,3.4,28.7,3.7,6.1,2.3
"1381 Laholm","2010",33.4,12.9,5.7,4.7,4.6,25.3,3.1,8.7,1.5
"1382 Falkenberg","2002",14.3,15.0,11.3,9.0,3.8,36.8,5.5,1.2,3.0
"1382 Falkenberg","2006",24.6,14.8,6.7,5.7,3.9,35.1,3.8,3.0,2.4
"1382 Falkenberg","2010",28.9,12.6,6.8,4.8,6.0,30.0,3.7,5.8,1.4
"1383 Varberg","2002",13.8,11.4,11.0,9.9,4.0,39.0,7.0,1.3,2.5
"1383 Varberg","2006",25.7,12.3,6.7,6.2,4.3,34.8,4.7,2.8,2.5
"1383 Varberg","2010",31.8,9.9,7.4,5.3,6.2,29.0,4.2,4.8,1.4
"1384 Kungsbacka","2002",24.5,5.9,19.8,12.1,3.8,26.2,4.7,1.2,1.9
"1384 Kungsbacka","2006",39.7,8.4,9.9,8.4,3.8,21.6,3.1,2.1,3.0
"1384 Kungsbacka","2010",45.5,7.4,9.7,7.3,5.7,15.9,2.6,4.6,1.3
"1401 Härryda","2002",17.2,3.9,18.9,9.6,5.1,34.2,7.7,1.5,1.7
"1401 Härryda","2006",29.6,6.9,10.7,7.4,5.5,29.2,5.4,2.7,2.6
"1401 Härryda","2010",36.3,6.0,10.5,6.4,7.6,21.9,4.6,5.6,1.2
"1402 Partille","2002",16.4,1.9,19.3,11.3,4.5,34.6,9.0,1.4,1.6
"1402 Partille","2006",28.3,4.6,10.7,8.4,5.2,30.4,6.1,2.8,3.4
"1402 Partille","2010",33.9,4.0,10.0,7.1,7.6,24.8,5.1,5.8,1.7
"1407 Öckerö","2002",18.8,1.8,13.4,27.3,3.7,27.7,6.2,0.7,0.4
"1407 Öckerö","2006",28.4,3.4,9.3,21.7,4.5,24.0,4.1,2.3,2.5
"1407 Öckerö","2010",36.2,2.8,8.2,19.3,5.9,18.9,3.1,4.5,1.1
"1415 Stenungsund","2002",16.0,5.1,16.5,11.3,4.2,37.3,6.8,1.3,1.6
"1415 Stenungsund","2006",27.8,7.4,9.0,7.3,5.0,31.4,5.1,2.6,4.3
"1415 Stenungsund","2010",36.1,5.9,8.6,6.2,7.1,25.8,4.2,4.9,1.3
"1419 Tjörn","2002",16.1,3.8,17.6,22.0,3.7,28.7,5.4,1.9,0.8
"1419 Tjörn","2006",29.5,6.3,11.1,15.9,4.2,24.8,4.0,2.0,2.2
"1419 Tjörn","2010",36.1,5.6,9.9,13.2,5.9,20.4,3.0,5.0,0.9
"1421 Orust","2002",14.6,9.3,14.6,11.3,4.6,35.6,8.1,1.3,0.5
"1421 Orust","2006",25.8,11.7,8.0,8.0,4.8,31.0,5.1,2.6,3.1
"1421 Orust","2010",33.9,8.8,8.3,6.3,6.4,25.6,4.7,4.7,1.2
"1427 Sotenäs","2002",19.1,4.6,15.0,10.7,3.4,39.2,5.9,1.0,1.2
"1427 Sotenäs","2006",30.2,6.4,10.3,9.7,3.3,31.7,3.7,2.2,2.7
"1427 Sotenäs","2010",39.1,4.6,8.2,8.0,4.3,27.2,3.7,4.2,0.7
"1430 Munkedal","2002",10.7,14.1,9.0,12.1,3.3,40.4,7.0,2.2,1.3
"1430 Munkedal","2006",20.1,14.2,5.9,8.0,3.3,38.3,4.7,3.3,2.2
"1430 Munkedal","2010",26.0,11.8,5.3,7.0,3.9,32.8,5.1,7.2,0.9
"1435 Tanum","2002",14.5,18.6,14.2,10.5,5.0,29.3,5.9,0.6,1.5
"1435 Tanum","2006",26.8,19.0,8.7,7.1,4.7,25.2,3.5,2.2,2.7
"1435 Tanum","2010",32.6,15.4,9.2,5.8,6.3,22.0,3.4,4.4,1.0
"1438 Dals-Ed","2002",10.8,17.9,6.4,17.2,3.7,37.9,4.3,0.3,1.6
"1438 Dals-Ed","2006",19.8,17.1,4.7,12.0,2.8,33.9,3.1,1.9,4.7
"1438 Dals-Ed","2010",27.2,15.8,4.6,9.2,3.7,28.4,3.9,6.1,1.0
"1439 Färgelanda","2002",9.2,19.5,10.8,10.0,2.0,39.8,6.1,1.6,0.9
"1439 Färgelanda","2006",17.5,18.7,6.3,5.6,2.1,38.1,3.7,4.2,3.6
"1439 Färgelanda","2010",24.5,14.9,4.9,5.2,3.0,34.1,4.1,8.6,0.8
"1440 Ale","2002",11.1,5.4,12.1,10.2,4.1,43.9,10.3,2.1,0.9
"1440 Ale","2006",21.2,7.0,7.2,7.1,4.2,40.0,7.2,3.9,2.2
"1440 Ale","2010",28.2,5.0,6.5,5.8,6.0,33.0,6.1,8.1,1.4
"1441 Lerum","2002",17.3,3.4,18.1,12.1,5.0,32.9,8.5,1.7,0.9
"1441 Lerum","2006",30.0,6.3,10.2,8.8,6.4,27.5,5.6,2.5,2.8
"1441 Lerum","2010",35.1,5.1,10.0,7.0,8.8,22.3,5.1,5.4,1.2
"1442 Vårgårda","2002",10.6,12.3,10.0,23.4,4.2,31.3,6.3,0.6,1.3
"1442 Vårgårda","2006",18.4,13.6,7.6,16.6,4.7,29.5,4.2,3.2,2.2
"1442 Vårgårda","2010",23.2,11.9,8.2,13.2,6.2,26.6,4.1,5.9,0.8
"1443 Bollebygd","2002",16.6,7.8,10.9,13.9,4.5,37.3,7.0,1.5,0.5
"1443 Bollebygd","2006",27.1,9.4,6.6,8.5,3.5,32.4,5.6,3.8,3.2
"1443 Bollebygd","2010",33.1,7.2,6.5,6.5,6.1,26.6,4.7,8.2,1.0
"1444 Grästorp","2002",18.3,17.0,9.4,12.3,2.9,33.2,5.2,1.2,0.4
"1444 Grästorp","2006",29.5,16.4,4.5,6.4,2.4,32.6,3.6,2.3,2.4
"1444 Grästorp","2010",31.6,14.1,5.2,4.2,3.6,30.5,3.5,6.3,1.0
"1445 Essunga","2002",17.8,18.7,8.7,12.3,2.7,33.0,5.7,0.3,0.9
"1445 Essunga","2006",27.4,18.2,4.6,7.5,3.0,29.8,4.3,2.9,2.2
"1445 Essunga","2010",31.4,12.6,5.0,6.4,4.2,29.3,3.9,6.2,1.0
"1446 Karlsborg","2002",13.6,10.2,9.5,12.4,3.2,43.5,6.2,0.5,0.9
"1446 Karlsborg","2006",22.1,13.5,6.1,7.4,2.8,39.4,3.8,2.6,2.3
"1446 Karlsborg","2010",26.9,11.0,7.7,6.5,4.3,33.6,3.4,5.8,0.7
"1447 Gullspång","2002",11.6,10.7,6.8,10.9,3.9,42.9,8.1,2.7,2.3
"1447 Gullspång","2006",17.8,11.2,4.7,7.0,3.0,43.1,5.3,3.7,4.3
"1447 Gullspång","2010",22.7,7.5,4.9,5.3,3.7,43.9,5.1,6.2,0.7
"1452 Tranemo","2002",12.3,15.4,8.9,11.8,3.3,42.1,5.0,0.9,0.3
"1452 Tranemo","2006",21.2,17.6,5.8,6.5,3.1,36.1,3.5,3.9,2.4
"1452 Tranemo","2010",26.7,14.1,5.9,5.5,4.9,32.0,3.1,6.9,0.9
"1460 Bengtsfors","2002",8.9,14.1,9.0,10.5,3.0,46.2,6.9,0.2,1.1
"1460 Bengtsfors","2006",16.6,14.4,4.9,6.9,4.1,42.8,5.5,2.1,2.8
"1460 Bengtsfors","2010",23.1,10.9,5.2,5.8,4.9,38.5,5.1,5.6,0.8
"1461 Mellerud","2002",12.7,15.3,9.6,13.4,3.1,35.7,6.3,1.9,2.0
"1461 Mellerud","2006",20.5,15.9,5.3,9.4,3.1,34.2,5.0,4.3,2.2
"1461 Mellerud","2010",26.5,13.3,6.1,6.4,4.5,29.7,5.0,7.7,0.7
"1462 Lilla Edet","2002",10.2,8.5,9.7,8.0,4.7,45.6,9.8,2.7,0.8
"1462 Lilla Edet","2006",17.7,9.1,5.4,5.5,3.8,42.5,7.9,5.2,3.0
"1462 Lilla Edet","2010",22.3,6.5,6.0,3.8,4.7,37.9,7.3,10.1,1.4
"1463 Mark","2002",11.1,10.5,9.5,12.1,4.1,42.8,8.1,1.0,0.9
"1463 Mark","2006",20.4,11.8,5.3,7.8,4.0,38.3,6.4,2.9,3.0
"1463 Mark","2010",24.5,9.3,7.5,6.7,5.7,34.0,5.6,5.8,0.9
"1465 Svenljunga","2002",13.7,15.2,10.4,12.7,3.3,38.2,4.8,0.9,0.8
"1465 Svenljunga","2006",24.0,16.3,6.2,7.7,2.2,34.2,2.6,2.9,4.0
"1465 Svenljunga","2010",29.0,14.1,6.5,5.2,3.8,29.3,3.1,7.9,1.0
"1466 Herrljunga","2002",12.1,16.0,9.8,17.1,3.5,32.7,6.6,1.2,1.0
"1466 Herrljunga","2006",21.3,15.5,6.9,10.6,3.2,31.0,4.9,3.6,3.0
"1466 Herrljunga","2010",24.7,13.0,7.2,9.0,5.3,27.2,4.9,7.9,0.7
"1470 Vara","2002",19.6,16.2,8.9,12.5,2.7,33.3,5.6,1.0,0.3
"1470 Vara","2006",28.6,16.0,4.9,7.8,2.3,32.1,4.1,2.2,1.9
"1470 Vara","2010",33.0,12.4,5.6,6.2,3.7,28.3,4.1,5.8,0.8
"1471 Götene","2002",11.6,10.9,9.1,14.0,3.9,40.5,8.0,1.0,1.0
"1471 Götene","2006",21.0,10.9,5.5,10.8,3.9,38.6,4.7,2.6,2.0
"1471 Götene","2010",25.5,8.7,6.2,8.2,6.4,34.5,4.9,4.8,0.9
"1472 Tibro","2002",11.9,8.1,10.7,14.3,3.5,42.5,7.2,0.8,1.0
"1472 Tibro","2006",19.7,9.8,7.0,10.3,2.9,40.3,4.6,3.3,2.3
"1472 Tibro","2010",23.4,7.3,7.2,10.0,4.4,36.4,4.3,6.4,0.6
"1473 Töreboda","2002",13.7,14.6,7.3,10.9,3.7,39.3,7.4,2.3,0.9
"1473 Töreboda","2006",21.2,14.0,4.0,6.9,3.1,39.9,5.2,3.0,2.7
"1473 Töreboda","2010",24.8,11.6,3.9,5.3,4.3,37.6,5.1,6.5,0.9
"1480 Göteborg","2002",17.4,1.9,18.0,8.6,6.5,33.2,11.9,1.6,1.0
"1480 Göteborg","2006",26.9,4.5,10.2,6.7,8.4,28.9,8.7,2.5,3.1
"1480 Göteborg","2010",30.4,3.8,8.4,6.1,10.7,25.2,8.5,4.9,1.9
"1481 Mölndal","2002",15.9,3.0,19.0,9.7,4.3,35.1,8.9,2.0,2.1
"1481 Mölndal","2006",27.8,5.6,11.6,7.6,5.5,29.9,6.1,3.3,2.5
"1481 Mölndal","2010",32.9,4.8,10.3,6.5,8.5,24.8,5.3,5.6,1.4
"1482 Kungälv","2002",15.1,6.0,14.9,12.1,4.0,38.4,7.5,1.2,0.7
"1482 Kungälv","2006",26.2,7.9,8.8,8.7,4.5,33.0,5.1,3.5,2.4
"1482 Kungälv","2010",33.2,6.6,9.1,7.1,6.3,26.0,4.4,6.2,1.0
"1484 Lysekil","2002",11.4,3.7,15.4,7.0,4.4,48.9,7.6,1.2,0.4
"1484 Lysekil","2006",20.7,4.8,10.2,6.0,4.7,42.9,5.5,2.5,2.7
"1484 Lysekil","2010",25.6,4.2,10.0,4.7,6.5,36.7,5.6,5.8,0.9
"1485 Uddevalla","2002",11.8,5.3,12.5,10.7,4.1,43.3,9.1,2.4,0.7
"1485 Uddevalla","2006",23.1,6.1,7.5,7.9,4.7,38.9,5.2,3.6,3.1
"1485 Uddevalla","2010",28.8,5.0,6.6,6.8,7.0,33.4,5.2,6.1,1.1
"1486 Strömstad","2002",13.9,13.8,12.8,7.6,5.3,38.5,6.8,0.6,0.7
"1486 Strömstad","2006",21.9,13.8,9.8,6.3,5.2,34.2,4.9,1.8,2.2
"1486 Strömstad","2010",29.3,10.9,8.6,5.2,8.5,28.0,4.2,4.5,0.8
"1487 Vänersborg","2002",11.2,7.5,11.3,10.3,4.3,44.0,9.6,0.9,0.9
"1487 Vänersborg","2006",19.4,8.5,6.8,7.5,4.8,42.0,5.9,2.6,2.5
"1487 Vänersborg","2010",26.0,5.7,7.5,5.4,7.1,34.0,6.7,6.3,1.2
"1488 Trollhättan","2002",11.5,4.5,11.3,7.7,3.9,49.9,8.8,2.1,0.3
"1488 Trollhättan","2006",18.8,5.6,6.8,5.5,4.3,49.6,5.4,2.0,2.1
"1488 Trollhättan","2010",24.1,3.7,7.4,4.4,6.7,42.0,5.8,4.9,1.0
"1489 Alingsås","2002",13.1,5.5,15.3,15.8,5.6,34.4,9.2,0.5,0.6
"1489 Alingsås","2006",22.7,8.1,9.7,10.4,6.7,31.5,6.4,2.4,2.2
"1489 Alingsås","2010",27.9,6.2,10.0,8.7,9.5,25.7,6.2,4.7,1.1
"1490 Borås","2002",15.2,4.3,11.6,11.7,3.8,42.2,8.2,1.5,1.6
"1490 Borås","2006",25.4,5.8,7.2,7.9,4.2,36.4,6.1,3.2,3.9
"1490 Borås","2010",29.1,4.7,7.7,6.2,6.5,31.9,5.6,7.1,1.3
"1491 Ulricehamn","2002",12.6,13.3,11.3,15.4,4.0,35.1,6.3,0.5,1.6
"1491 Ulricehamn","2006",24.0,14.7,5.7,9.8,4.2,30.7,4.0,2.9,4.0
"1491 Ulricehamn","2010",29.4,12.2,6.8,7.9,6.1,26.2,3.9,6.7,0.9
"1492 Åmål","2002",9.7,11.4,9.4,10.1,4.0,46.7,6.9,0.7,1.0
"1492 Åmål","2006",18.4,11.1,5.1,6.4,4.2,44.2,5.8,2.4,2.5
"1492 Åmål","2010",24.8,6.6,6.0,5.2,6.1,39.7,5.3,5.5,0.8
"1493 Mariestad","2002",13.1,6.2,10.1,11.3,4.4,43.6,8.8,1.7,0.7
"1493 Mariestad","2006",23.6,6.8,4.9,7.7,3.8,42.1,6.1,3.0,2.0
"1493 Mariestad","2010",28.1,5.3,5.6,5.7,6.1,37.1,5.9,5.2,1.0
"1494 Lidköping","2002",12.0,8.0,10.1,11.3,3.7,43.4,9.4,0.7,1.4
"1494 Lidköping","2006",22.4,8.8,5.4,8.8,4.3,39.5,6.4,2.8,1.8
"1494 Lidköping","2010",26.3,7.1,6.7,6.5,6.4,35.3,5.7,5.1,0.8
"1495 Skara","2002",14.8,9.0,10.3,10.5,4.0,42.2,7.8,0.8,0.5
"1495 Skara","2006",25.5,9.1,6.1,6.7,4.1,38.4,4.8,3.0,2.0
"1495 Skara","2010",29.4,7.3,5.8,5.5,6.3,34.4,4.6,5.6,1.1
"1496 Skövde","2002",14.6,7.5,12.2,11.7,3.9,40.9,7.1,1.0,1.0
"1496 Skövde","2006",25.4,8.8,6.7,7.4,4.0,37.5,5.0,3.0,2.1
"1496 Skövde","2010",30.3,7.5,7.3,6.3,6.3,31.0,4.7,5.2,1.3
"1497 Hjo","2002",15.0,8.4,11.3,15.1,3.7,37.7,6.9,0.9,0.9
"1497 Hjo","2006",25.7,9.1,5.9,10.1,4.4,35.5,4.4,3.0,2.0
"1497 Hjo","2010",28.8,7.3,7.5,8.4,6.6,30.8,4.6,5.2,0.8
"1498 Tidaholm","2002",10.0,8.3,8.4,11.4,3.2,49.2,8.4,0.8,0.4
"1498 Tidaholm","2006",17.3,8.6,4.2,7.2,3.0,48.7,5.6,3.3,2.0
"1498 Tidaholm","2010",22.0,6.8,5.0,5.1,4.8,43.8,5.4,6.2,0.8
"1499 Falköping","2002",14.3,12.0,8.5,14.8,4.0,37.4,6.9,1.5,0.6
"1499 Falköping","2006",22.4,12.6,4.5,9.6,3.6,36.1,4.8,4.2,2.2
"1499 Falköping","2010",27.8,9.3,5.2,7.8,5.3,31.2,4.7,7.8,0.9
"1715 Kil","2002",13.6,10.0,11.4,9.8,3.8,41.8,7.1,1.6,0.9
"1715 Kil","2006",21.0,11.0,6.0,6.5,3.4,41.7,5.2,3.3,1.9
"1715 Kil","2010",26.0,9.1,5.6,5.1,5.3,38.0,5.2,4.7,1.0
"1730 Eda","2002",8.8,13.3,8.2,8.1,2.6,49.8,7.0,0.9,1.0
"1730 Eda","2006",16.1,15.8,3.5,6.1,2.1,45.3,4.8,3.3,3.0
"1730 Eda","2010",22.7,12.3,3.7,4.0,2.8,43.0,4.6,5.7,1.1
"1737 Torsby","2002",15.7,12.7,5.9,5.4,2.9,43.6,11.6,1.2,1.0
"1737 Torsby","2006",21.4,11.7,3.2,3.9,2.4,44.7,8.3,2.9,1.4
"1737 Torsby","2010",24.3,8.8,3.5,3.1,2.8,44.3,7.2,4.2,1.8
"1760 Storfors","2002",9.3,7.3,7.7,7.3,3.1,52.6,10.4,1.2,1.2
"1760 Storfors","2006",15.5,8.4,3.6,4.5,2.2,52.3,8.6,2.8,2.0
"1760 Storfors","2010",18.0,6.4,3.3,3.9,3.5,50.8,7.3,5.7,1.1
"1761 Hammarö","2002",14.2,4.0,13.3,7.6,3.6,46.5,8.2,1.3,1.3
"1761 Hammarö","2006",25.0,5.6,7.0,6.6,4.0,41.9,5.7,2.3,1.9
