"region","valår","Moderaterna","Centerpartiet","Folkpartiet","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"0186 Lidingö","2002",36.4,1.8,26.5,9.3,4.1,17.0,3.5,0.8,0.5
"0186 Lidingö","2006",52.9,6.4,11.9,8.1,4.3,11.5,2.2,1.4,1.2
"0186 Lidingö","2010",48.7,10.1,10.7,10.0,5.7,9.2,1.9,2.7,0.9
"0187 Vaxholm","2002",26.3,3.6,23.1,9.7,4.9,25.7,5.7,0.6,0.5
"0187 Vaxholm","2006",46.6,6.9,8.9,7.8,6.9,17.2,2.9,1.1,1.7
"0187 Vaxholm","2010",48.5,8.5,9.3,6.9,7.6,12.4,3.0,2.7,1.2
"0188 Norrtälje","2002",17.3,8.6,13.1,8.3,4.6,39.3,6.2,0.5,2.0
"0188 Norrtälje","2006",32.0,9.5,6.7,6.3,4.9,31.5,4.8,2.1,2.2
"0188 Norrtälje","2010",36.1,8.0,6.6,4.9,7.2,26.5,4.5,5.0,1.3
"0191 Sigtuna","2002",20.1,3.7,15.4,9.3,4.2,38.1,6.8,1.7,0.6
"0191 Sigtuna","2006",34.7,5.3,7.6,6.3,4.5,32.9,4.1,2.5,2.1
"0191 Sigtuna","2010",38.2,4.5,7.1,5.9,6.3,27.9,3.8,5.0,1.2
"0192 Nynäshamn","2002",15.8,3.6,13.2,8.7,4.9,42.8,8.8,1.8,0.5
"0192 Nynäshamn","2006",31.3,5.1,6.6,6.0,5.2,34.9,5.7,3.0,2.2
"0192 Nynäshamn","2010",35.0,4.5,6.3,4.8,7.2,29.3,5.4,6.1,1.4
"0305 Håbo","2002",23.3,4.0,13.9,10.9,3.8,36.6,5.0,1.0,1.4
"0305 Håbo","2006",39.6,5.9,6.8,6.3,3.9,28.8,3.6,2.3,2.7
"0305 Håbo","2010",42.6,5.0,7.2,4.7,5.5,24.9,3.1,5.9,1.1
"0319 Älvkarleby","2002",6.8,3.2,8.2,4.8,3.5,61.2,10.0,2.3,0.1
"0319 Älvkarleby","2006",14.6,4.6,5.0,3.7,3.5,54.4,7.6,3.8,2.9
"0319 Älvkarleby","2010",19.3,3.2,5.0,2.5,5.2,48.9,6.8,7.9,1.0
"0330 Knivsta","2002",20.1,6.8,17.9,10.5,5.0,31.8,5.5,1.6,0.8
"0330 Knivsta","2006",34.0,10.1,9.9,7.9,5.5,24.3,3.6,2.6,2.2
"0330 Knivsta","2010",38.2,9.2,9.5,7.1,7.4,19.2,3.5,4.4,1.4
"0331 Heby","2002",9.6,16.9,8.4,10.5,3.5,40.5,8.4,1.4,0.8
"0331 Heby","2006",18.9,17.0,5.0,7.1,3.1,36.7,5.9,3.8,2.4
"0331 Heby","2010",23.8,14.4,5.2,5.5,4.3,33.9,4.8,6.9,1.3
"0360 Tierp","2002",8.2,12.5,8.1,7.7,3.7,50.7,7.3,1.5,0.4
"0360 Tierp","2006",14.7,14.3,5.5,5.5,3.6,45.8,5.5,3.1,2.0
"0360 Tierp","2010",20.6,10.4,4.6,3.6,4.7,42.9,5.3,6.3,1.6
"0380 Uppsala","2002",15.1,5.1,18.6,8.9,6.9,33.7,9.4,1.5,0.9
"0380 Uppsala","2006",26.9,8.6,11.3,7.0,7.8,26.9,6.5,2.0,3.0
"0380 Uppsala","2010",29.5,7.6,9.1,6.4,11.2,24.0,6.4,3.8,2.0
"0381 Enköping","2002",16.3,11.4,10.8,9.6,3.5,40.0,5.4,0.8,2.1
"0381 Enköping","2006",29.1,12.5,5.2,5.9,4.4,34.2,3.8,2.2,2.7
"0381 Enköping","2010",34.8,10.0,5.3,4.6,6.0,29.1,3.6,5.4,1.1
"0382 Östhammar","2002",12.9,12.2,8.7,7.9,3.9,46.0,6.5,1.2,0.6
"0382 Östhammar","2006",23.5,13.1,6.0,5.5,3.7,39.4,4.4,2.3,2.0
"0382 Östhammar","2010",28.2,10.7,5.8,4.2,4.4,35.3,4.5,5.5,1.3
"0428 Vingåker","2002",11.1,7.5,8.6,8.2,5.0,53.0,5.0,0.7,0.9
"0428 Vingåker","2006",18.4,7.8,4.1,6.1,4.5,51.0,4.0,2.8,1.3
"0428 Vingåker","2010",24.1,6.9,4.1,4.7,6.5,41.5,4.1,7.3,0.9
"0461 Gnesta","2002",14.5,10.4,11.4,8.5,6.5,40.3,6.6,0.6,1.2
