år,region,inkomst,arbetslösa,befolkning,arbetslöshet
2010,2101 Ockelbo,171.6,229,5936,3.857816712
2010,2104 Hofors,178.3,344,9741,3.531464942
2010,2121 Ovanåker,166.2,345,11440,3.015734266
2010,2132 Nordanstig,160.9,280,9611,2.913328478
2010,2161 Ljusdal,162,800,19065,4.196170994
2010,2180 Gävle,189,3351,95055,3.525327442
2010,2181 Sandviken,184.3,1307,36916,3.540470257
2010,2182 Söderhamn,171.6,974,25647,3.797715132
2010,2183 Bollnäs,168.2,1033,26248,3.935537946
2010,2184 Hudiksvall,175.5,1214,36849,3.29452631
2010,2260 Ånge,168.4,362,10053,3.60091515
2010,2262 Timrå,177,703,17990,3.907726515
2010,2280 Härnösand,177.7,756,24611,3.071797164
2010,2281 Sundsvall,190.6,3330,95732,3.478460703
2010,2282 Kramfors,170.6,737,18911,3.897202686
2010,2283 Sollefteå,166.6,894,20255,4.413725006
2010,2284 Örnsköldsvik,185.9,1845,55073,3.35009896
2010,2303 Ragunda,161.9,183,5590,3.273703041
2010,2305 Bräcke,157,258,6885,3.747276688
2010,2309 Krokom,164,321,14535,2.208462332
2010,2313 Strömsund,160.1,489,12185,4.013130899
2010,2321 Åre,160.1,226,10274,2.199727467
2010,2326 Berg,153.2,314,7352,4.270946681
2010,2361 Härjedalen,162.8,259,10454,2.477520566
2010,2380 Östersund,181.1,1883,59416,3.169180019
2010,2401 Nordmaling,171.6,225,7098,3.169907016
2010,2403 Bjurholm,149.6,56,2460,2.276422764
2010,2404 Vindeln,164.1,161,5507,2.923551843
2010,2409 Robertsfors,166.5,188,6831,2.752159274
2010,2417 Norsjö,165.4,183,4304,4.251858736
2010,2418 Malå,177.3,63,3274,1.92425168
2010,2421 Storuman,166.8,174,6120,2.843137255
2010,2422 Sorsele,155.9,62,2736,2.266081871
2010,2425 Dorotea,165.1,109,2878,3.787352328
2010,2460 Vännäs,172.8,167,8414,1.984787259
2010,2462 Vilhelmina,151.7,220,7135,3.083391731
2010,2463 Åsele,156.5,111,3039,3.652517275
2010,2480 Umeå,184.4,3263,115473,2.825768794
2010,2481 Lycksele,175.3,357,12376,2.884615385
2010,2482 Skellefteå,181.5,2350,71641,3.280244553
2010,2505 Arvidsjaur,178.7,201,6529,3.078572523
2010,2506 Arjeplog,172.5,86,3161,2.72065802
2010,2510 Jokkmokk,174.4,162,5170,3.133462282
2010,2513 Överkalix,167.2,142,3611,3.93242869
2010,2514 Kalix,177.5,607,16740,3.6260454
2010,2518 Övertorneå,154.1,212,4812,4.405652535
2010,2521 Pajala,165.6,244,6282,3.88411334
2010,2523 Gällivare,206.8,519,18425,2.816824966
2010,2560 Älvsbyn,168.7,297,8335,3.563287343
2010,2580 Luleå,190.4,2399,74178,3.23411254
2010,2581 Piteå,187.3,1292,40892,3.159542209
2010,2582 Boden,182.1,737,27471,2.682829165
2010,2583 Haparanda,152.9,509,10059,5.060145144
2010,2584 Kiruna,206.1,562,22944,2.44944212
