år,region,inkomst
2002,1862 Degerfors,142.7
2002,1863 Hällefors,133.1
2002,1864 Ljusnarsberg,132.1
2002,1880 Örebro,141.6
2002,1881 Kumla,142.3
2002,1882 Askersund,136.3
2002,1883 Karlskoga,152.3
2002,1884 Nora,139.5
2002,1885 Lindesberg,138
2002,1904 Skinnskatteberg,136.2
2002,1907 Surahammar,146.2
2002,1960 Kungsör,141.2
2002,1961 Hallstahammar,139.1
2002,1962 Norberg,138.8
2002,1980 Västerås,154
2002,1981 Sala,131.6
2002,1982 Fagersta,152.3
2002,1983 Köping,139.4
2002,1984 Arboga,139.7
2002,2021 Vansbro,125.7
2002,2023 Malung-Sälen,130.4
2002,2026 Gagnef,131.7
2002,2029 Leksand,135.7
2002,2031 Rättvik,128.3
2002,2034 Orsa,123.6
2002,2039 Älvdalen,125.7
2002,2061 Smedjebacken,143.5
2002,2062 Mora,137.5
2002,2080 Falun,146.4
2002,2081 Borlänge,142.3
2002,2082 Säter,133.8
2002,2083 Hedemora,134.8
2002,2084 Avesta,146
2002,2085 Ludvika,144.7
2002,2101 Ockelbo,131.3
2002,2104 Hofors,145.1
2002,2121 Ovanåker,127.1
2002,2132 Nordanstig,127.5
2002,2161 Ljusdal,129.2
2002,2180 Gävle,149
2002,2181 Sandviken,150
2002,2182 Söderhamn,139.6
2002,2183 Bollnäs,133.6
2002,2184 Hudiksvall,137.9
2002,2260 Ånge,133
2002,2262 Timrå,147.3
2002,2280 Härnösand,142.9
2002,2281 Sundsvall,156.9
2002,2282 Kramfors,133.5
2002,2283 Sollefteå,133.4
2002,2284 Örnsköldsvik,143.2
2002,2303 Ragunda,125.9
2002,2305 Bräcke,125.1
2002,2309 Krokom,128.8
2002,2313 Strömsund,124.4
2002,2321 Åre,119.7
2002,2326 Berg,118
2002,2361 Härjedalen,126.8
2002,2380 Östersund,146.6
2002,2401 Nordmaling,129
2002,2403 Bjurholm,121
2002,2404 Vindeln,126
2002,2409 Robertsfors,124.6
2002,2417 Norsjö,130.8
2002,2418 Malå,140.8
2002,2421 Storuman,128.1
2002,2422 Sorsele,124.4
2002,2425 Dorotea,124.4
2002,2460 Vännäs,131.7
2002,2462 Vilhelmina,123.1
2002,2463 Åsele,126.7
2002,2480 Umeå,145.4
2002,2481 Lycksele,134.9
2002,2482 Skellefteå,141.9
2002,2505 Arvidsjaur,136.9
2002,2506 Arjeplog,131
2002,2510 Jokkmokk,131.7
2002,2513 Överkalix,130.1
2002,2514 Kalix,139.1
2002,2518 Övertorneå,120.8
2002,2521 Pajala,123.9
2002,2523 Gällivare,148.5
2002,2560 Älvsbyn,132.3
2002,2580 Luleå,150.1
2002,2581 Piteå,145.3
2002,2582 Boden,144
2002,2583 Haparanda,119.2
2002,2584 Kiruna,151.3
2006,0114 Upplands Väsby,180.6
2006,0115 Vallentuna,180.2
2006,0117 Österåker,186
2006,0120 Värmdö,181.3
2006,0123 Järfälla,189.7
2006,0125 Ekerö,194.3
2006,0126 Huddinge,172.3
2006,0127 Botkyrka,145.9
2006,0128 Salem,180.9
2006,0136 Haninge,166.9
2006,0138 Tyresö,184.6
2006,0139 Upplands-Bro,170.8
2006,0140 Nykvarn,185.4
2006,0160 Täby,231.4
2006,0162 Danderyd,278.8
2006,0163 Sollentuna,207.2
2006,0180 Stockholm,196.6
